2024-12-09 23:37:25 | ERROR | stderr |   warnings.warn(
2024-12-09 23:39:34 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-12-09 23:39:39 | INFO | stdout | Killing tunnel 0.0.0.0:7870 <> https://001f4615a76e7e828d.gradio.live
2024-12-09 23:39:46 | INFO | gradio_web_server | All models: []
2024-12-09 23:39:46 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:39:46 | INFO | gradio_web_server | All models: []
2024-12-09 23:39:46 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:39:46 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:39:46 | ERROR | stderr |   warnings.warn(
2024-12-09 23:39:46 | INFO | stdout | Running on local URL:  http://0.0.0.0:7870
2024-12-09 23:39:46 | INFO | stdout | Running on public URL: https://bfd33160bde3fb27db.gradio.live
2024-12-09 23:39:46 | INFO | stdout | 
2024-12-09 23:39:46 | INFO | stdout | This share link expires in 72 hours. For free permanent hosting and GPU upgrades, run `gradio deploy` from Terminal to deploy to Spaces (https://huggingface.co/spaces)
2024-12-09 23:39:49 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:39:49 | ERROR | stderr |   warnings.warn(
2024-12-09 23:41:02 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-12-09 23:41:07 | INFO | stdout | Killing tunnel 0.0.0.0:7870 <> https://bfd33160bde3fb27db.gradio.live
2024-12-09 23:41:43 | INFO | gradio_web_server | All models: []
2024-12-09 23:41:43 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:41:43 | INFO | gradio_web_server | All models: []
2024-12-09 23:41:43 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:41:43 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:41:43 | ERROR | stderr |   warnings.warn(
2024-12-09 23:41:43 | INFO | stdout | Running on local URL:  http://0.0.0.0:7870
2024-12-09 23:41:44 | INFO | stdout | Running on public URL: https://590e8c4d9c1fb5045f.gradio.live
2024-12-09 23:41:44 | INFO | stdout | 
2024-12-09 23:41:44 | INFO | stdout | This share link expires in 72 hours. For free permanent hosting and GPU upgrades, run `gradio deploy` from Terminal to deploy to Spaces (https://huggingface.co/spaces)
2024-12-09 23:41:46 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:41:46 | ERROR | stderr |   warnings.warn(
2024-12-09 23:42:03 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-12-09 23:42:08 | INFO | stdout | Killing tunnel 0.0.0.0:7870 <> https://590e8c4d9c1fb5045f.gradio.live
